Starttime,Endtime,Hall,Production
2006-07-01 22:00:00,0000-00-00 00:00:00,Balzaal,5833
2006-07-01 23:00:00,2006-07-01 06:00:00,Concertzaal,5831
2006-07-14 23:00:00,1970-01-01 00:00:00,"ICC, Van Rysselberghedreef 2",5835
2006-07-15 23:00:00,1970-01-01 00:00:00,"ICC, Van Rysselberghedreef 2",5835
2006-07-16 23:00:00,1970-01-01 00:00:00,"ICC, Van Rysselberghedreef 2",5835
2006-07-17 23:00:00,1970-01-01 00:00:00,"ICC, Van Rysselberghedreef 2",5835
2006-07-18 23:00:00,1970-01-01 00:00:00,"ICC, Van Rysselberghedreef 2",5835
2006-07-20 23:00:00,1970-01-01 00:00:00,"ICC, Van Rysselberghedreef 2",5835
2006-07-21 23:00:00,1970-01-01 00:00:00,"ICC, Van Rysselberghedreef 2",5835
2006-07-22 23:00:00,1970-01-01 00:00:00,"ICC, Van Rysselberghedreef 2",5835
2006-07-23 23:00:00,1970-01-01 00:00:00,"ICC, Van Rysselberghedreef 2",5835
2006-07-24 23:00:00,1970-01-01 00:00:00,"ICC, Van Rysselberghedreef 2",5835
2006-09-02 22:00:00,1970-01-01 00:00:00,Balzaal,5857
2006-09-06 20:30:00,1970-01-01 00:00:00,NTGent (Minnemeers),5837
2006-09-07 20:30:00,1970-01-01 00:00:00,NTGent (Minnemeers),5837
2006-09-08 20:30:00,1970-01-01 00:00:00,NTGent (Minnemeers),5837
2006-09-09 20:30:00,1970-01-01 00:00:00,NTGent (Minnemeers),5837
2006-09-09 23:00:00,2006-09-09 06:00:00,Diverse Zalen,5855
2006-09-10 20:30:00,1970-01-01 00:00:00,NTGent (Minnemeers),5837
2006-09-12 20:30:00,1970-01-01 00:00:00,NTGent (Minnemeers),5837
2006-09-13 22:00:00,1970-01-01 00:00:00,Café,5849
2006-09-15 20:00:00,1970-01-01 00:00:00,Theaterzaal,5839
2006-09-15 20:00:00,2006-09-15 00:00:00,Diverse Zalen,5861
2006-09-16 14:00:00,1970-01-01 00:00:00,Theaterzaal,5859
2006-09-16 14:00:00,2006-09-16 18:00:00,Diverse Zalen,5861
2006-09-19 19:00:00,1970-01-01 00:00:00,Balzaal,5841
2006-09-20 19:00:00,1970-01-01 00:00:00,Balzaal,5841
2006-09-21 19:00:00,1970-01-01 00:00:00,Balzaal,5841
2006-09-21 20:00:00,1970-01-01 00:00:00,Domzaal,5853
2006-09-22 19:00:00,1970-01-01 00:00:00,Balzaal,5841
2006-09-22 20:30:00,1970-01-01 00:00:00,"S.M.A.K., Jan Hoetplein 1",5845
2006-09-23 19:00:00,1970-01-01 00:00:00,Balzaal,5841
2006-09-24 19:00:00,1970-01-01 00:00:00,Balzaal,5841
2006-09-26 20:00:00,1970-01-01 00:00:00,Balzaal,5851
2006-09-27 18:00:00,2006-09-27 23:30:00,Diverse Zalen,5863
2006-09-27 18:00:00,2006-09-27 23:30:00,Dansstudio,5893
2006-09-27 18:00:00,2006-09-27 23:30:00,Diverse Zalen,5895
2006-09-27 18:00:00,2006-09-27 23:30:00,Brug,5897
2006-09-27 18:00:00,2006-09-27 23:30:00,Diverse Zalen,5899
2006-09-27 20:00:00,1970-01-01 00:00:00,Balzaal,5865
2006-09-27 21:00:00,1970-01-01 00:00:00,Foyer Domzaal,5867
2006-09-27 22:00:00,1970-01-01 00:00:00,Domzaal,5869
2006-09-28 18:00:00,2006-09-28 23:30:00,Diverse Zalen,5863
2006-09-28 18:00:00,2006-09-28 23:30:00,Dansstudio,5893
2006-09-28 18:00:00,2006-09-28 23:30:00,Diverse Zalen,5895
2006-09-28 18:00:00,2006-09-28 23:30:00,Brug,5897
2006-09-28 18:00:00,2006-09-28 23:30:00,Diverse Zalen,5899
2006-09-28 20:00:00,1970-01-01 00:00:00,Theaterzaal,5843
2006-09-28 20:00:00,1970-01-01 00:00:00,Domzaal,5873
2006-09-28 21:00:00,1970-01-01 00:00:00,Foyer Theaterzaal ,5871
2006-09-28 22:00:00,1970-01-01 00:00:00,Café,5901
2006-09-28 22:15:00,1970-01-01 00:00:00,Domzaal,5875
2006-09-29 18:00:00,2006-09-29 23:30:00,Diverse Zalen,5863
2006-09-29 18:00:00,2006-09-29 23:30:00,Dansstudio,5893
2006-09-29 18:00:00,2006-09-29 23:30:00,Diverse Zalen,5895
2006-09-29 18:00:00,2006-09-29 23:30:00,Brug,5897
2006-09-29 18:00:00,2006-09-29 23:30:00,Diverse Zalen,5899
