Titel,Ondertitel,Description1,Description2,Genre,ID,Planning ID
Luc Perceval & Ted Stoffer / NTGent,GEWIJZIGDE VOORSTELLING: Platonov,"\
    OPGELET: eerder werd de voorstelling ‘Salaud’ aangekondigd. Regisseur Luk Perceval heeft er echter voor gekozen om deze creatie uit te stellen en om dit seizoen ‘Platonov’ te spelen.
\

\
NTGent verwelkomt dit seizoen Luk Perceval als gastregisseur. Het is de eerste keer sinds 2005, sinds zijn afscheid als stichter en artistiek leider van het Antwerpse Toneelhuis, dat hij weer in Vlaanderen zal werken. Perceval is als ‘leidinggevende regisseur’ (Leitender Regisseur) vast verbonden aan het Thalia Theater in Hamburg, waar hij mee het beleid bepaalt van een van Duitslands grootste gezelschappen.
\
Wat de repertoirekeuze van zijn regie in NTGent betreft, is er evenwel een wijziging: de productie die Perceval in het voorjaar regisseert, wordt een nieuwe enscenering van een toneelklassieker van Anton Tsjechov: ‘Platonov’ (1878). De Russische auteur schreef dit stuk op achttienjarige leeftijd en zette daarmee de toon voor een reeks van bitterzoete drama’s over de burgerij, vaak met een antiheld als middelpunt van het stuk.
\
Met de keuze voor Tsjechov bouwt Luk Perceval verder aan een inhoudelijk traject dat al lang geleden is ingezet. Zo ensceneerde hij in 1988 met de Blauwe Maandag Compagnie De meeuw, een productie waarmee hij vrijwel meteen bij het grote publiek bekend werd. Sindsdien is Tsjechov nooit veraf geweest. Met Ted Stoffer, de Amerikaanse choreograaf die eveneens meewerkt aan de NTGent-productie ‘Platonov’, maakte Perceval eerder dit jaar ‘Ein Kirschgarten (De kersentuin)’ bij het Thalia Theater in Hamburg.
\
Het stuk van Tsjechov speelt zich af op een landgoed waar elke zomer de weduwe van een generaal komt verblijven, daarbij omringd door beschermers en aanbidders. Het middelpunt van de belangstelling – en van de heimelijke begeerte – is echter een leraar van de plaatselijke school, Platonov. Hij is een leraar die geen leraar meer wil zijn, een antiheld, want mislukt als academicus en kampend met een alcoholverslaving. Ondanks zijn depressie is hij voor veel vrouwen in zijn omgeving het gedroomde slachtoffer. Het is de mengeling van Don Juan en Hamlet die zijn aantrekkingskracht alleen maar versterkt.
\
Zoals eerder aangekondigd werkt Perceval samen met Ted Stoffer als choreograaf en met de Duitse pianist Jens Thomas voor de live muziek op scène. De cast blijft dezelfde, met Bert Luppes, Steven Van Watermeulen, Elsie de Brauw, Lien Wildemeersch, Katrin Lohmann, Briek Lesage, Zoë Thielemans. De reeds aangekondigde speeldata blijven behouden.","Luk Perceval (regie), Ted Stoffer (choreografie), Philip Bussmann (scenografie), Ilse Vandenbussche (kostuum), Mark Van Denesse (lichtontwerp), Bert Luppes, Steven Van Watermeulen, Elsie de Brauw, Lien Wildemeersch, Katrin Lohmann, Briek Lesage, Zoë Thielemans (spel)
\
www.ntgent.be",Theater,197,legacy-3174
Rosas,Elena's Aria,"Hedendaagse herneming van een sleutelwerk uit de carrière van Anne Teresa De Keersmaeker.
\
Anne Teresa de Keersmaeker maakte ‘Elena’s Aria’ in 1984. Het werd een cruciale voorstelling in haar carrière. Voor het eerste maakte ze gebruik van videobeelden en tekst, en ging ze weg van het repetitieve karakter dat haar vroege werk kenmerkte. De dansers hebben geen ritmische muziek om te volgen, maar wel aria’s, geluiden en lange momenten van stilte. Toen al was ‘Elena’s Aria’ voor De Keersmaeker een bevraging van haar eigen choreografische taal. De twijfel en het zoeken komen genadeloos bovendrijven in deze desolate voorstelling. Door deze choreografie zoveel jaar later te herhalen, opgevoerd door een nieuwe lichting jonge dansers, wordt die intro- en retrospectieve blik nog versterkt.",www.rosas.be,\N,199,legacy-3175
Monstre(s) / Etienne Saglio,GEWIJZIGDE VOORSTELLING: Cie Circoncentrique - Respire,"\
    OPGELET! Etienne Saglio heeft zijn vinger gebroken en moet daarom jammer genoeg afzeggen. Het Circuscentrum, organisator van deze avond, heeft in allerijl een vervangvoorstelling kunnen vinden: ‘Respire’ van Cie Circoncentrique (beschrijving, zie onder). Helaas kunnen die artiesten zich enkel vrijmaken op donderdag 17 januari en niet op woensdag 16. De voorstelling ‘Le soir des monstres’ op 16.01 wordt geannuleerd, die op 17.01 wordt vervangen door ‘Respire’. Ticketkopers worden persoonlijk gecontacteerd ivm een terugbetaling of omruiling voor ‘Respire’.
\

\
Maxime Pythoud en Allesandro Maida gaan net dat tikkeltje verder. Humoristisch, wild en technisch superieur. Ze wonnen solo al verschillende internationale prijzen – onder andere de bronzen medaille op Cirque de Demain in Parijs – maar ook samen breken ze potten: hun show ‘Respire’ was afgelopen seizoen de hit in vele cultuurcentra en festivals. Een tollende ring, adembenemende  rotaties, een gevoel van gewichtloosheid… én van gevaar!
\
Ballen springen op en weerkaatsen in het  rond als een choreografie die het lichaam vorm geeft… De acrobaat is zowel de maker als het slachtoffer van de balbewegingen… Want op een zachte, ronde, perfecte bal kan je je nooit stilhouden… Alessandro Maida en Maxime Pythoud studeerden met glans af aan de gerenommeerde Brusselse circusschool ESAC en zijn meesters op de bal en het enkel rad. ‘Respire!’ is een mix van virtuoze circustechnieken, fijne humor, dans en spel. Cie Circoncentrique sleurt je mee in een cirkelvormig avontuur, een acrobatische en poëtische draaikolk!","ism Circuscentrum
\
www.circoncentrique.com",\N,203,legacy-3189
Too Noisy Fish / Actuum,,"line up
\
20:00 Actuum
\
21:00 pauze (15’)
\
21:15 Too Noisy Fish (deel 1)
\
22:00 pauze (15’)
\
22:15 Too Noisy Fish (deel 2)
\
TOO NOISY FISH
\
Na hun uren als muzikant bij Flat Earth Society kruipen Peter Vandenberghe, Kristof Roseeuw en Teun Verbruggen ook graag samen op het podium onder de naam Too Noisy Fish. muzieksite Kwadratuur schreef over hun cd: “Rebels, baldadig, boud en poëtisch. Too Noisy Fish levert met ‘Fast Easy Sick’ een van de strafste platen af van het jaar. De rebelse jazz klinkt altijd fris, nooit intellectueel en lijkt gespeeld te worden door een bataljon muzikanten. Hun onuitputtelijke stroom van ideeën, hun rijke vocabularium en hun hyperkinetische samenspel maken van ‘Fast Easy Sick’ een ruwe diamant die de luisteraar kan blijven slijpen.” (Kwadratuur)
\
ACTUUM
\
Het jonge Franse jazzkwartet Actuum stormt in een blitzkrieg de Europese jazzscene op. Ze werden bekroond met de European Keep An Eye Jazz Award 2010 voor beste band en beste compositie. De mannen van Actuum lappen alle regels aan hun laars en gedijen het beste in de chaos. Hun songs zijn gedurfd en energiek, maar altijd elegant. De ideale sound- track voor de huidige wankele tijden dus. Charles mingus en George Russell kijken oogluikend toe en zien dat het goed is.","Peter Vandenberghe (piano), Kristof Roseeuw (contrabas) & Teun Verbruggen (drums) / Louis Laurain (trompet), Benjamin Dousteyssier (sax), Ronan Courty (bas) & Julien Loutelier (drums) / ism Jazzlab Series
\
www.toonoisyfish.be
\
www.myspace.com/actuum",Concert,205,legacy-3190
Ivo Dimchev,X-on,"“Een van de meest invloedrijke hedendaagse artiesten” (La Libre Belgique)
\
Bloed, bloot en drag queens. Een voorstelling als ‘X-on’ krijg je niet alle dagen in Vooruit te zien. Hoewel het allemaal heel onschuldig begint met een ontmoeting tussen toeristen en een museumsuppoost. Tot er plots een schietpartij losbarst. Wat volgt, tart alle verbeelding.
\
Deze voorstelling van Dimchev draait rond de sculptuur ‘Pass-stücke’ van de Oostenrijkse kunstenaar Franz West, winnaar van een Gouden Leeuw op de Biënnale van Venetië die afgelopen zomer is overleden. Hij pakt alledaagse voorwerpen in in gaas en gips, en nodigt de museumbezoekers uit om ze aan te raken en ermee rond te lopen. 
\
West leverde een aantal replica’s van het originele stuk, zodat de performers de beeldjes naar hartenlust kunnen manipuleren op het podium.
\
De Bulgaar Dimchev staat bekend om zijn extreem visueel werk. De Morgen vindt ‘X-on’ “een werk van een ongeziene radicaliteit”, volgens De Standaard schittert Dimchev dankzij “een onnavolgbare, rare fantasie en een indrukwekkende lichaamstaal en stemgebruik”.
\

\
    meer zien van Ivo Dimchev? Op 16.01 speelt hij de voorstelling ‘Lili Handel’ in Campo, op 17.01 voert hij er ‘Paris’ op en op 18.01 kan je naar ‘I-On’.
\","OPGELET: dit is een 18+ voorstelling!
\
Ivo Dimchev, Yen Yi-tzu, Christian Bakalov & Veronika Zot (spel)
\
www.ivodimchev.com",\N,207,legacy-3191
Manah Depauw,King Dom,"Wreed en erotisch, vrolijk en verdrietig, gewelddadig en zacht. Manah Depauw laat een hoop onderdrukte fantasieën de vrije loop.\
\
\
	Het verhaal begint in een kasteel waar alles rot is, van de kamers tot de bedden, de lakens, het sperma, de dromen, de koning en zelf zijn dochter, die Prinses Gertrude heet.\
\
\
	De kleine groeit snel en in tegenstelling tot haar vader koning Godfriel de tweede, is zij niet belast met laterale sclerose, cystische fibrose, spierdystrofie of hemofilie. De jaren gaan voorbij. Haar vader wordt haar privé-leraar, haar speelkameraad, haar kok, haar vertrouweling, kortom, de kern van haar hele bestaan. Op een dag besluiten vader en dochter de andere bewoners van het kasteel te vermoorden om hun wil en liefde voor altijd te behouden.\
\
\
	‘King Dom’ is een verhaal over existentiële verrotting en over hoe de pijn met de liefde een symbiotisch duo vormt. Een sprookje, een catalysator voor onderdrukte fantasieën.","Engels gesproken\
\
\
	Concept: Manah Depauw / Met: Ragna Aurich & Nicolas Delalieux / Dramaturgie: Pascale Petralia / Lichtontwerp: Giacomo Gorini / Kostuumontwerp: An Breugelmans / Scenografie : Raphael Rubbens / Geluidsontwerp: Maarten Van Cauwenberghe / Stage: Ellen Decoodt\
\
\
	Productie: Margarita Production / Coproductie: Vooruit, Buda, BIT Teatergarasjen en Teater Avant Garden / Made in: Stuk, Vooruit & Buda / Met de steun van: Vlaamse Overheid\
\
\
	http://www.margaritaproduction.be/artists/manah-depauw",Theater,209,legacy-3192
Motus,"Alexis, a Greek tragedy","Een krachtige hedendaagse tragedie
\
“Hoe kan je verontwaardiging omzetten in actie?” in de zoektocht naar het antwoord op die vraag kwam het Italiaanse gezelschap Motus uit bij de Griekse klassieker ‘Antigone’. Ze gingen met de tekst aan de slag tot middenin het maakproces in Griekenland de crisis en de sociale onrust losbarstten, waarbij een 15-jarige jongen gedood werd door de politie: Alexis. Het incident zwengelde de protesten nog meer aan, in alle lagen van de Griekse bevolking. De acteurs van Motus gooiden de voorstelling die ze in gedachten hadden helemaal om en begonnen te werken rond opstand en revolutie.
\
In 2009, een jaar na Alexis’ dood, trok Motus naar de plek waar de jongen stierf. Te laat. Of is het nooit te laat voor actie? ‘Alexis, a Greek tragedy’ is een mokerslag die je een bewustzijn schopt tot je er even niet goed van bent …
\
Motus is een gerenommeerd Italiaans gezelschap. Actrice Silvia Calderoni, die in ‘Alexis’ de hoofdrol vertolkt, is een innemend en energiek figuur die het publiek naar zich toe zuigt.
\

\
    Na de voorstelling volgt een ontdekkingsdag, een gratis nagesprek met de makers.
\

\
 ","Silvia Calderoni, Vladimir Aleksic, Benno Steinegger & Alexia Sarantopoulou (spel) / Italiaans gesproken met Nederlandse en Engelse boventiteling
\
www.motusonline.com
\
duur: 75min",Theater,211,legacy-3193
Codice Ivan,GMGS_ What the hell is happiness?,"Codice Ivan is een jong Italiaans gezelschap bestaande uit drie theatermakers. Voor hun debuut ‘Pink, Me & The Roses’ in 2009 kregen ze meteen de ‘Premio Scenario’, een vooraanstaande Italiaanse theaterprijs. In ‘GMGS_What the hell is happiness?’ neemt Codice Ivan het ultieme streefdoel van de mens als uitgangspunt: gelukkig zijn. Maar weet iemand wat “geluk” eigenlijk is of waar het te vinden? Deze Italianen leggen in hun zoektocht het verband bloot tussen een t-shirt en een koelkast. Verder passeert Madonna de revue en wordt het podium langzaamaan volgestouwd met sloganborden en krijttekeningen. Dat alles zou uiteindelijk een antwoord moeten leveren op de vraag: hoe moeten we ons leven leiden?
\
TANK TALK
\
Tijdens hun verblijf in Gent zal Codice Ivan ook de straatperformance ‘Tank-Talk’ doen, of zoals ze het zelf noemen “een project voor collectieve stedelijke actie”. De actie is gebaseerd op de zogenaamde ‘Tank Man’, de man die in ’89 voor een konvooi tanks ging staan toen het Tiananmenplein in China gewelddadig werd ontruimd. De beelden van deze kleine man voor de immense tanks gingen de wereld rond. De acteurs van Codice Ivan zullen in Gent autobestuurders, fietsers en voetganger proberen tegen te houden en met hen in gesprek te gaan. Iedereen die wil, mag deelnemen aan deze actie. De video die ze in Gent opnemen zal getoond worden voor ‘GMGS_ What the hell is happiness?’ en voor ‘Alexis, a Greek tragedy’ van Motus de dag voordien.
\

\
    Na de voorstelling volgt een Ontdekkingsdag, een gratis nagesprek met de makers
\","Anna Destefanis, Leonardo Mazzi & Benno Steinegger (spel) / Engels en Italiaans gesproken, het Italiaans wordt vertaald met Engelse boventiteling
\
www.codiceivan.com",Theater,213,legacy-3194
Saint Amour,Behoud de Begeerte,"De 20ste editie van het grote feest van de literaire liefde!
\
Dat feestjaar kan Behoud de Begeerte niet zomaar voorbij laten gaan. Daarom viert Saint Amour zijn 20ste verjaardag door een van de grootste Belgische schrijvers aller tijden te eren: Hugo Claus. Want in 2013 zal het ook exact 30 jaar geleden zijn dat zijn meesterwerk ‘Het Verdriet van België’ verscheen en 5 jaar geleden dat de auteur overleed. De liefde loopt als een rode draad door zijn werk. Claus passeerde verschillende keren de revue op Saint Amour. Bekende auteurs en acteurs brengen een passende ode aan de liefde en aan Hugo Claus. Verder wordt de avond opgesmukt met een royale graai uit het foto- en filmarchief.
\
Een kleine maar fijne cast van debuterende en gevierde schrijvers als Yannick Dangre, Marcel Möring, Erwin Mortier, Leonard Nolens, Anne Vegter, Christophe Vekeman en Maartje Wortel laat zich inspireren door Claus’ geschriften en uitspraken over de liefde met al haar zegeningen en verschrikkingen.
\
Marijke Boon en het Ellen Schoenaerts Kwartet zorgen voor muziek.
\
Sven Speybrouck is in Vlaanderen opnieuw uw spreekstalmeester.
\
Nieuw en bijzonder is ook dat de affiche iedere avond zal worden aangevuld met telkens een andere schrijver; een soort ‘een prominente passant’, om het in deftig Nederlands te zeggen. In Gent is dat Peter Verhelst.
\
MEER INFO
\
Yannick Dangre, in een vorig leven Y.M. Dangre, debuteerde op zeer jonge leeftijd met de roman Vulkaanvrucht, waarvoor hij de Debuutprijs 2011 kreeg. Sindsdien publiceerde hij ook de dichtbundel Meisje dat ik nog moet (Herman de Coninck Debuutprijs 2012) en de roman Maartse kamers. Dangre heeft, zoals hij zelf zegt, ‘bij wijze van spreken het werk van Claus tot de laatste letter verslonden’. Met Claus deelt Dangre in elk geval de gedrevenheid, de jonge leeftijd waarop hij debuteerde, en de hang naar intertekstuele verwijzingen.
\
Ook Marcel Möring, die zowat alle grote literaire prijzen (Gouden Uil, AKO, …) in ontvangst heeft mogen nemen, verwerkt in zijn verhalen vaak mythologische allusies en referenties aan historische gebeurtenissen. Bovendien ziet hij Claus als een voorbeeld, als een auteur wiens palet, vrijheid en veelzijdigheid door niemand werd geëvenaard. Louteringsberg (2011) is Mörings meest recente roman.
\
Erwin Mortier leerde naar eigen zeggen dankzij Claus de rijkdom van de Nederlandse taal kennen. Mortier geldt als een van de belangrijkste Vlaamse auteurs van dit moment. Al sinds zijn debuut Marcel (1999) oogst hij groot succes bij pers en publiek; zijn roman Godenslaap (2008) werd niet zelden een meesterwerk genoemd.
\
Leonard Nolens, die in 2012 – 26 jaar na Hugo Claus – de Prijs der Nederlandse Letteren mocht ontvangen, is erg vertrouwd met Claus’ poëzie; hij schreef voor Claus’ 65ste verjaardag een merkwaardige en beklemmende hommage. Bij leven was Claus de grootste dichter van liefdesgedichten in ons taalgebied. Het ziet er sterk naar uit dat Nolens deze fakkel heeft overgenomen. In 2012 verscheen de nieuwe, vermeerderde editie van Nolens’ verzameld werk Manieren van leven: gedichten 1975-2011. Zeer onlangs werd een nieuwe uitgebreide bloemlezing liefdesgedichten gepubliceerd, met de gepaste titel: Liefdesgedichten.
\
Gedichten, proza, kinderboeken en theaterteksten; Anne Vegter kan, net als Claus, elk genre aan – al zijn er van Claus bitter weinig kinderboeken bekend. Vegter staat gekend om haar erotische proza en poëzie, genres die Claus ook niet bepaald uit de weg ging. Ook thematisch herinneren vooral haar gedichten aan Claus’ oeuvre: schuld en boete, macht en taboe zijn onderwerpen die ook in het werk van Claus nadrukkelijk aanwezig zijn.
\
Sinds Christophe Vekeman de genialiteit inzag van De Oostakkerse gedichten, heeft hij zijn bewondering voor de schrijver en publieke figuur Hugo Claus nooit verborgen. Hij bewees al eerder zich meesterlijk door de auteur te kunnen laten inspireren. Vekemans vaak humoristische proza wordt gekenmerkt door ironie en pessimisme. In maart 2012 verscheen zijn meest recente roman Een uitzonderlijke vrouw.
\
De jonge schrijfster en columniste Maartje Wortel doet in haar puntige korte verhalen en in haar ambivalente houding ten opzichte van de liefde vaak denken aan het werk van de jonge Hugo Claus en de thematiek van zijn hele oeuvre. Korte verhalen van haar verschenen in de literaire tijdschriften Passionate Magazine, De Brakke Hond en De Gids. Ze kreeg de Anton Wachterprijs 2010 voor haar eerste verhalenbundel Dit is jouw huis en publiceerde in 2011 haar eerste roman, Half mens, die werd genomineerd voor de BNG Literatuurprijs en de Opzij Literatuurprijs.
\
Toen zangeres, performer en cabaretière Marijke Boon en Hugo Claus in 1990 samen op het programma van de allereerste Saint Amour stonden, was Claus meteen verkocht. We moesten hem waarschuwen wanneer Boon aan de beurt was, en dan ging hij iedere avond in de zaal zitten, om haar optreden toch maar niet te missen. Marijke Boon zong en zingt levensliederen met een hoek af, vandaar wellicht.
\
De band met Hugo Claus is in het geval van Ellen Schoenaerts op het eerste gezicht eerder anekdotisch. Haar grootvader Julien Schoenaerts en Hugo Claus waren goede vrienden, die vaak en graag samenwerkten. De passionele ondertoon van haar eerste cd doet echter ook sterk denken aan de gedrevenheid waarmee de jonge Claus zijn eerste werk componeerde. Geïnspireerd door muzikale helden als PJ Harvey, Jacques Brel, Tom Waits en Rufus Wainwright zorgt het Ellen Schoenaerts Kwartet voor een heel nieuw, eigen geluid, dat tegelijk slaat en zalft.",www.begeerte.be/,Debat / Gesprek,215,legacy-3195
Mette Ingvartsen,The Artificial Nature Project,"‘The Artificial Nature Project’ is het laatste deel in een serie van vier werken die choreografe Mette Ingvartsen maakt rond waarnemingen en sensaties van en in de natuur. Ze fictionaliseert en choreografeert natuurlijke fenomenen. In het eerste deel, ‘Evaporated Landscapes’ uit 2009, zette ze bijvoorbeeld geen mensen op scène, maar werkte ze met luchtbellen, schuim, mist, licht en geluid. In ‘the Artificial Nature Project’ laat ze dansers in interactie gaan met levensloze objecten. Maar ook nu krijgen de voorwerpen de bovenhand en moet de mens zich naar hen schikken.
\
Materialen vliegen door de lucht, het landschap verandert constant, een storm van confetti raast over de scène en het podium komt stilaan vol te liggen met allerlei smalle, dikke, zware, lichte, grote, dunne, breekbare en robuuste voorwerpen. De dansers maken met al deze dingen een lichaam dat niet langer menselijk is, maar een grote vliegende massa. Een stortvloed aan fascinerende beelden volgen elkaar in sneltempo op.","Mette Ingvartsen (choreografie), Franziska Aigner, Ehud darash, Sidney Leoni, Martin Lervik, Maud Le Pladec, Guillem Mont de Palol, Manon Santkin & Christine de Smedt (spel)
\
metteingvartsen.net
\
coproductie: Vooruit (Départs) / met de steun van Départs/European Commission (Culture program)",\N,217,legacy-3196
